@logo      Multiple-Run
Bfac        2.000e-001
  creator    GPT
  @logo      B&M-General Particle Tracer
  numderivs           0
  cputime     7.800e-002
  time        5.000e-009
              x           y           z           G          Bx          By          Bz          ID 
     6.222e-003 -6.417e-004  8.182e-001  1.195e+000  5.964e-005  3.569e-003  5.478e-001  1.775e+003 
    -4.860e-003  1.149e-003  8.134e-001  1.195e+000 -1.038e-003 -2.381e-003  5.476e-001  1.786e+003 
    -2.134e-003 -3.247e-003  8.199e-001  1.195e+000  7.386e-004 -1.130e-003  5.478e-001  1.841e+003 
     1.298e-004  4.367e-003  8.271e-001  1.196e+000 -1.419e-003  4.132e-004  5.487e-001  1.852e+003 
     1.898e-003 -1.965e-003  8.264e-001  1.196e+000  1.813e-003  5.789e-004  5.485e-001  1.863e+003 
    -3.656e-003  7.704e-003  8.272e-001  1.196e+000 -2.188e-003 -1.851e-003  5.485e-001  1.874e+003 
     2.179e-003 -6.787e-003  8.238e-001  1.196e+000  2.246e-003  8.551e-004  5.482e-001  1.885e+003 
     1.735e-003  2.851e-003  8.180e-001  1.195e+000 -9.690e-004  1.272e-003  5.478e-001  1.896e+003 
    -5.452e-003  2.490e-003  8.200e-001  1.195e+000 -8.194e-004 -1.807e-003  5.478e-001  1.962e+003 
    -3.448e-005 -2.592e-003  8.270e-001  1.196e+000  6.903e-004 -6.831e-004  5.486e-001  1.973e+003 
     3.315e-003  4.467e-003  8.270e-001  1.196e+000 -8.003e-004  7.861e-004  5.486e-001  1.984e+003 
     3.381e-003 -5.251e-003  8.273e-001  1.196e+000  1.814e-003  1.032e-003  5.487e-001  1.995e+003 
    -2.900e-003  4.201e-004  8.235e-001  1.196e+000 -1.114e-003 -9.464e-004  5.483e-001  2.006e+003 
    -5.914e-003 -3.198e-003  8.180e-001  1.195e+000  1.117e-003 -2.973e-003  5.478e-001  2.017e+003 
    -1.626e-003  5.488e-003  8.133e-001  1.195e+000 -2.648e-003 -4.312e-004  5.476e-001  2.028e+003 
     1.089e-003 -2.305e-003  8.264e-001  1.196e+000  8.989e-004 -5.466e-005  5.486e-001  2.083e+003 
    -6.814e-003  1.685e-003  8.273e-001  1.196e+000 -4.396e-004 -2.437e-003  5.486e-001  2.094e+003 
     6.214e-004 -5.110e-003  8.262e-001  1.196e+000  2.837e-004 -4.678e-005  5.485e-001  2.105e+003 
     1.162e-003  2.797e-003  8.271e-001  1.196e+000 -6.442e-004  7.980e-004  5.487e-001  2.116e+003 
     3.398e-003 -1.160e-003  8.236e-001  1.196e+000  1.007e-003  1.367e-003  5.482e-001  2.127e+003 
    -3.859e-003  3.972e-003  8.170e-001  1.195e+000 -2.476e-003 -1.922e-003  5.478e-001  2.138e+003 
     3.923e-004  7.269e-003  8.240e-001  1.196e+000 -2.967e-003 -1.012e-005  5.483e-001  2.204e+003 
     4.917e-003 -3.535e-003  8.276e-001  1.196e+000  1.355e-003  1.645e-003  5.487e-001  2.215e+003 
    -4.265e-003  2.950e-003  8.298e-001  1.196e+000 -8.017e-004 -3.875e-004  5.486e-001  2.226e+003 
     3.685e-003 -3.764e-003  8.268e-001  1.196e+000  9.136e-004  5.355e-004  5.486e-001  2.237e+003 
     3.214e-003  6.000e-003  8.237e-001  1.196e+000 -1.797e-003  1.173e-003  5.482e-001  2.248e+003 
     2.568e-003 -4.214e-003  8.154e-001  1.195e+000  3.034e-003  7.959e-004  5.478e-001  2.259e+003 
    -1.450e-003 -8.396e-003  8.241e-001  1.196e+000  2.924e-003 -7.555e-005  5.483e-001  2.325e+003 
     6.638e-003  2.352e-003  8.276e-001  1.196e+000 -6.939e-004  2.063e-003  5.487e-001  2.336e+003 
     5.229e-003 -2.702e-003  8.301e-001  1.196e+000  9.587e-004  9.551e-004  5.487e-001  2.347e+003 
    -8.467e-003  1.686e-004  8.270e-001  1.196e+000  1.834e-004 -2.335e-003  5.486e-001  2.358e+003 
    -4.985e-003  1.329e-004  8.235e-001  1.196e+000 -4.100e-004 -2.622e-003  5.483e-001  2.369e+003 
     1.484e-004  4.703e-003  8.167e-001  1.195e+000 -2.545e-003  1.121e-003  5.478e-001  2.380e+003 
     3.565e-003 -6.093e-003  8.210e-001  1.196e+000  2.072e-003  1.335e-003  5.482e-001  2.435e+003 
    -3.917e-003 -1.256e-003  8.235e-001  1.196e+000 -2.308e-005 -1.409e-003  5.482e-001  2.446e+003 
    -5.892e-003 -5.883e-003  8.274e-001  1.196e+000  2.186e-003 -1.657e-003  5.486e-001  2.457e+003 
     1.839e-003  6.617e-003  8.303e-001  1.196e+000 -1.662e-003  5.635e-004  5.487e-001  2.468e+003 
     4.588e-003  2.990e-003  8.269e-001  1.196e+000 -3.475e-004  1.099e-003  5.486e-001  2.479e+003 
    -5.524e-003  7.099e-004  8.212e-001  1.196e+000 -5.848e-004 -1.522e-003  5.482e-001  2.490e+003 
    -4.835e-004 -5.760e-003  8.169e-001  1.195e+000  1.925e-003 -5.987e-004  5.478e-001  2.501e+003 
    -3.013e-003  4.228e-003  8.209e-001  1.196e+000 -1.449e-003 -3.366e-004  5.482e-001  2.556e+003 
     6.574e-003 -1.085e-003  8.240e-001  1.196e+000  6.678e-004  2.047e-003  5.482e-001  2.567e+003 
    -3.386e-003  5.750e-003  8.272e-001  1.196e+000 -1.874e-003 -6.527e-004  5.487e-001  2.578e+003 
    -4.641e-004 -3.815e-003  8.269e-001  1.196e+000  1.528e-003 -9.379e-004  5.486e-001  2.589e+003 
     6.511e-003  2.509e-003  8.266e-001  1.196e+000 -1.170e-003  2.702e-003  5.485e-001  2.600e+003 
     3.812e-003 -6.133e-003  8.206e-001  1.195e+000  2.723e-003  1.305e-003  5.478e-001  2.611e+003 
    -6.739e-003 -1.799e-003  8.151e-001  1.195e+000  9.530e-004 -3.520e-003  5.477e-001  2.622e+003 
     3.817e-003  2.967e-003  8.203e-001  1.195e+000 -5.456e-004  1.670e-003  5.478e-001  2.688e+003 
     5.247e-003 -1.796e-003  8.235e-001  1.196e+000  6.317e-004  5.512e-004  5.484e-001  2.699e+003 
    -5.124e-003 -1.474e-003  8.269e-001  1.196e+000 -1.009e-004 -9.831e-004  5.486e-001  2.710e+003 
    -6.329e-003 -3.829e-003  8.276e-001  1.196e+000  9.082e-004 -1.778e-003  5.487e-001  2.721e+003 
     1.565e-003  6.174e-003  8.268e-001  1.196e+000 -2.113e-003  8.157e-004  5.486e-001  2.732e+003 
     6.235e-003  1.158e-003  8.201e-001  1.195e+000 -2.834e-005  2.288e-003  5.479e-001  2.743e+003 
    -4.373e-003  5.758e-003  8.157e-001  1.195e+000 -2.095e-003 -1.754e-003  5.478e-001  2.754e+003 
    -3.630e-003 -4.265e-003  8.209e-001  1.196e+000  1.742e-003 -2.151e-003  5.482e-001  2.809e+003 
     1.473e-003  3.517e-003  8.236e-001  1.196e+000 -8.973e-004  1.366e-003  5.483e-001  2.820e+003 
     8.139e-003 -5.008e-005  8.274e-001  1.196e+000 -3.411e-005  2.338e-003  5.487e-001  2.831e+003 
    -4.257e-003  4.305e-003  8.275e-001  1.196e+000 -1.615e-003 -9.281e-004  5.487e-001  2.842e+003 
    -4.380e-003 -5.609e-003  8.267e-001  1.196e+000  2.028e-003 -1.643e-003  5.486e-001  2.853e+003 
     4.757e-003  5.430e-003  8.181e-001  1.195e+000 -2.126e-003  1.901e-003  5.478e-001  2.864e+003 
     6.129e-003 -3.861e-003  8.134e-001  1.195e+000  2.145e-003  4.092e-003  5.477e-001  2.875e+003 
    -3.111e-003  3.755e-003  8.207e-001  1.196e+000 -2.377e-003 -4.593e-004  5.482e-001  2.930e+003 
     3.528e-003 -6.398e-003  8.234e-001  1.196e+000  2.322e-003  8.696e-004  5.482e-001  2.941e+003 
     2.020e-003  3.388e-003  8.264e-001  1.196e+000 -1.665e-004  1.258e-003  5.485e-001  2.952e+003 
     4.375e-003 -2.837e-003  8.270e-001  1.196e+000  9.806e-004  6.464e-004  5.486e-001  2.963e+003 
    -7.304e-003  1.490e-003  8.239e-001  1.196e+000 -6.020e-004 -3.415e-003  5.483e-001  2.974e+003 
    -3.990e-003 -6.226e-003  8.182e-001  1.195e+000  2.606e-003 -1.669e-003  5.478e-001  2.985e+003 
     1.715e-003  6.996e-003  8.152e-001  1.195e+000 -4.439e-003  1.098e-003  5.478e-001  2.996e+003 
     4.006e-003 -4.934e-003  8.207e-001  1.196e+000  2.896e-003  1.869e-003  5.482e-001  3.051e+003 
    -4.034e-003  8.525e-004  8.268e-001  1.196e+000 -8.758e-004 -1.238e-003  5.486e-001  3.062e+003 
    -6.045e-003 -2.303e-004  8.269e-001  1.196e+000 -3.181e-004 -2.171e-003  5.486e-001  3.073e+003 
    -2.004e-003  7.418e-003  8.272e-001  1.196e+000 -1.720e-003 -3.828e-004  5.486e-001  3.084e+003 
     8.956e-003 -1.476e-003  8.242e-001  1.196e+000  3.153e-004  3.067e-003  5.483e-001  3.095e+003 
    -3.464e-003  4.461e-003  8.168e-001  1.195e+000 -2.392e-003 -1.064e-003  5.478e-001  3.106e+003 
     1.373e-003  7.174e-003  8.200e-001  1.195e+000 -2.817e-003  1.030e-003  5.479e-001  3.172e+003 
     3.828e-003  1.534e-003  8.267e-001  1.196e+000  1.901e-004  1.179e-003  5.486e-001  3.183e+003 
    -4.555e-003  5.796e-003  8.265e-001  1.196e+000 -2.390e-003 -1.867e-003  5.485e-001  3.194e+003 
    -1.479e-003 -8.256e-003  8.273e-001  1.196e+000  2.030e-003 -3.192e-004  5.486e-001  3.205e+003 
     3.534e-003  2.175e-003  8.237e-001  1.196e+000 -7.676e-005  1.785e-003  5.483e-001  3.216e+003 
     6.940e-003 -3.242e-003  8.181e-001  1.195e+000  1.528e-003  2.855e-003  5.478e-001  3.227e+003 
     3.121e-003 -5.466e-003  8.200e-001  1.196e+000  1.731e-003  2.607e-004  5.482e-001  3.293e+003 
     2.226e-003  6.725e-003  8.270e-001  1.196e+000 -1.477e-003  8.037e-004  5.486e-001  3.304e+003 
     3.575e-003 -6.967e-003  8.269e-001  1.196e+000  2.458e-003  1.159e-003  5.486e-001  3.315e+003 
    -3.449e-003 -3.172e-003  8.266e-001  1.196e+000  1.469e-004 -1.094e-003  5.486e-001  3.326e+003 
    -2.814e-003 -3.925e-003  8.238e-001  1.196e+000  1.049e-003 -1.362e-003  5.482e-001  3.337e+003 
    -4.015e-004  6.873e-003  8.178e-001  1.195e+000 -2.277e-003  3.120e-004  5.479e-001  3.348e+003 
    -8.608e-003  2.242e-003  8.238e-001  1.196e+000 -7.152e-004 -3.218e-003  5.482e-001  3.414e+003 
    -4.487e-003 -4.861e-003  8.294e-001  1.196e+000  1.323e-004 -8.581e-004  5.486e-001  3.425e+003 
